id|name|best_for|sections_order|conversion_pattern|headline_style
agency-dark|Dark Agency|AI tools; creative studios; tech agencies|hero,marquee,services,stats,cta,footer|Emotion-first then proof|Bold statement - "X is Everything"
saas-product|SaaS Product|software; apps; platforms|hero,logo-bar,features,stats,testimonials,pricing,cta,footer|Feature-led then urgency|Problem-solution - "Stop X. Start Y."
local-business|Local Business|restaurants; clinics; salons|hero,services,about,testimonials,cta,footer|Trust-first then booking|Warm invitation - "Welcome to X"
portfolio|Portfolio|freelancers; designers; developers|hero,work,skills,process,cta,footer|Work-first then contact|Identity statement - "I build X"
ecommerce|E-commerce|stores; brands; products|hero,products,benefits,reviews,cta,footer|Product-first then urgency|Desire-driven - "Get X today"
law-firm|Law Firm|attorneys; legal services; litigation|hero,logo-bar,practice-areas,team,process,testimonials,cta,footer|Authority-first then trust|Commanding promise - "We Fight For X"
medical-clinic|Medical Clinic|doctors; clinics; healthcare providers|hero,services,process,team,testimonials,faq,cta,footer|Safety-first then results|Reassuring care - "Your Health. Our Priority."
real-estate|Real Estate|agents; brokers; property firms|hero,logo-bar,listings,process,stats,testimonials,cta,footer|Lifestyle-first then value|Aspiration - "Find Your Place in X"
restaurant|Restaurant|cafes; bars; food businesses|hero,marquee,menu-highlights,about,gallery,testimonials,cta,footer|Desire-first then experience|Sensory invitation - "Taste the Difference"
fitness-gym|Fitness / Gym|gyms; personal trainers; wellness studios|hero,marquee,programs,stats,transformation,pricing,cta,footer|Aspiration-first then proof|Challenge framing - "Built Different. Train Here."
education|Online Course / Education|coaches; instructors; e-learning platforms|hero,logo-bar,curriculum,instructor,testimonials,faq,pricing,cta,footer|Outcome-first then curriculum|Transformation promise - "Go From X to Y in Z Days"
nonprofit|Nonprofit / Charity|NGOs; foundations; cause-driven orgs|hero,mission,stats,stories,team,cta,footer|Mission-first then impact|Cause statement - "Together We Can End X"
event-conference|Event / Conference|summits; workshops; ticketed events|hero,countdown,speakers,agenda,sponsors,faq,cta,footer|Urgency-first then value|Invitation - "Join 500+ Leaders at X"
hotel-hospitality|Hotel / Hospitality|hotels; resorts; boutique stays|hero,logo-bar,rooms,amenities,gallery,testimonials,cta,footer|Experience-first then booking|Escape framing - "Your Retreat Awaits"
fintech|Fintech / Finance App|neobanks; payment tools; investment apps|hero,logo-bar,features,stats,security,testimonials,pricing,cta,footer|Trust-first then features|Control promise - "Your Money. Your Rules."
crypto-web3|Crypto / Web3|DAOs; DeFi; NFT projects; blockchain apps|hero,marquee,tokenomics,features,roadmap,team,faq,cta,footer|Community-first then utility|Movement framing - "The Future of X is Here"
mobile-app|Mobile App|consumer apps; productivity; lifestyle|hero,mockup,features,stats,testimonials,pricing,cta,footer|Experience-first then download|Friction-removal - "X Without the Hassle"
developer-tool|Developer Tool / Dev Tool|CLIs; SDKs; APIs; dev platforms|hero,logo-bar,code-demo,features,stats,testimonials,pricing,cta,footer|Value-first then proof|Technical confidence - "Ship X in Minutes"
marketplace|Marketplace|two-sided platforms; B2B; freelance hubs|hero,logo-bar,how-it-works,categories,stats,testimonials,cta,footer|Both sides addressed then trust|Matching promise - "Find the Right X. Fast."
consulting|Consulting Firm|strategy; management; growth consultants|hero,logo-bar,services,case-studies,process,team,cta,footer|Credibility-first then outcome|Outcome framing - "We Help X Companies Do Y"
